SNo,Name,Capital (Seat),Population (2008 census),Area (square_km),Density,ISO
1,Phnom Penh Municipality,Phnom Penh,"15,01,725",678.46,"2,200",KH-12
2,Banteay Meanchey Province,Serei Saophoan,"6,77,872","6,679",102,KH-1
3,Battambang Province,Battambang,"10,58,174","11,702",89,KH-2
4,Kampong Cham Province,Kampong Cham,"9,28,694","4,549",204,KH-3
5,Kampong Chhnang Province,Kampong Chhang,"4,72,341","5,521",86,KH-4
6,Kampong Speu Province,Kampong Speu,"7,16,944","7,017",102,KH-5
7,Kampong Thom Province,Kampong Thom,"6,31,409","13,814",51,KH-6
8,Kampot Province,Kampot,"5,85,850","4,873",120,KH-7
9,Kandal Province,Ta Khmao,"12,65,280","3,568",355,KH-8
10,Koh Kong Province,Koh Kong,"1,17,481","11,160",12,KH-9
11,Kep Province,Kep,"35,753",336,120,KH-23
12,Kratie Province,Kratie,"3,19,217","11,094",29,KH-10
13,Mondulkiri Province,Senmonorom,"61,107","14,288",4,KH-11
14,Oddar Meanchey Province,Samraong,"1,85,819","6,158",30,KH-22
15,Pailin Province,Pailin,"70,486",803,88,KH-24
16,Preah Sihanouk Province,Sihanoukville,"2,21,396",868,230,KH-18
17,Preah Vihear Province,Phnom Tbeng Meanchey,"1,71,139","13,788",12,KH-13
18,Pursat Province,Pursat,"3,97,161","12,692",31,KH-15
19,Prey Veng Province,Prey Veng,"9,47,372","4,883",194,KH-14
20,Ratanakiri Province,Banlung,"1,50,466","10,782",14,KH-16
21,Siem Reap Province,Siem Reap,"8,96,443","10,299",87,KH-17
22,Stung Treng Province,Stung Treng,"1,11,671","11,092",10,KH-19
23,Svay Rieng Province,Svay Rieng,"4,82,788","2,966",163,KH-20
24,Takeo Province,Daun Keo,"8,44,906","3,563",237,KH-21
25,Tbong Khmum Province,Soung,"7,54,000","4,928",153,KH-25
